trial_name,real_time_seconds,user_time_seconds,sys_time_seconds,throughput_bytes_per_second,file_size_name,file_size_bytes,delta_size_bytes,speedup,trial_num
Fedora, 0.69, 0.35, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 1
Fedora, 0.69, 0.34, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 2
Fedora, 0.68, 0.33, 0.35, 5430692.00, large, 15998066, 8074860, 1.96, 3
Fedora, 0.69, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 4
Fedora, 0.70, 0.35, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 5
Fedora, 0.69, 0.35, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 6
Fedora, 0.69, 0.35, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 7
Fedora, 0.70, 0.34, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 8
Fedora, 0.69, 0.34, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 9
Fedora, 0.69, 0.34, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 10
Fedora, 0.70, 0.35, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 11
Fedora, 0.70, 0.35, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 12
Fedora, 0.70, 0.35, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 13
Fedora, 0.69, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 14
Fedora, 0.69, 0.34, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 15
Fedora, 0.69, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 16
Fedora, 0.72, 0.34, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 17
Fedora, 0.72, 0.35, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 18
Fedora, 0.69, 0.34, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 19
Fedora, 0.69, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 20
Fedora, 0.68, 0.34, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 21
Fedora, 0.69, 0.34, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 22
Fedora, 0.69, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 23
Fedora, 0.69, 0.34, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 24
Fedora, 0.69, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 25
Fedora, 0.69, 0.34, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 26
Fedora, 0.72, 0.36, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 27
Fedora, 0.69, 0.35, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 28
Fedora, 0.70, 0.35, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 29
Fedora, 0.68, 0.34, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 30
Fedora, 0.47, 0.20, 0.21, 8173608.00, medium, 7997300, 4049904, 1.96, 1
Fedora, 0.47, 0.20, 0.22, 8173608.00, medium, 7997300, 4049904, 1.96, 2
Fedora, 0.47, 0.20, 0.22, 8173608.00, medium, 7997300, 4049904, 1.96, 3
Fedora, 0.49, 0.19, 0.21, 2724536.00, medium, 7997300, 4049904, 1.96, 4
Fedora, 0.46, 0.20, 0.21, 2724536.00, medium, 7997300, 4049904, 1.96, 5
Fedora, 0.47, 0.20, 0.21, 8173608.00, medium, 7997300, 4049904, 1.96, 6
Fedora, 0.46, 0.20, 0.21, 8173608.00, medium, 7997300, 4049904, 1.96, 7
