trial_name,real_time_seconds,user_time_seconds,sys_time_seconds,throughput_bytes_per_second,file_size_name,file_size_bytes,delta_size_bytes,speedup,trial_num
Minix3, 1.27, 0.32, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 1
Minix3, 1.12, 0.31, 0.35, 5430692.00, large, 15998066, 8074860, 1.96, 2
Minix3, 3.02, 0.30, 0.35, 2327439.43, large, 15998066, 8074860, 1.96, 3
Minix3, 1.00, 0.29, 0.34, 5430692.00, large, 15998066, 8074860, 1.96, 4
Minix3, 1.05, 0.30, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 5
Minix3, 1.12, 0.31, 0.34, 5430692.00, large, 15998066, 8074860, 1.96, 6
Minix3, 1.08, 0.31, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 7
Minix3, 1.08, 0.31, 0.40, 5430692.00, large, 15998066, 8074860, 1.96, 8
Minix3, 3.19, 0.32, 0.40, 2327439.43, large, 15998066, 8074860, 1.96, 9
Minix3, 1.10, 0.32, 0.39, 5430692.00, large, 15998066, 8074860, 1.96, 10
Minix3, 1.08, 0.30, 0.34, 5430692.00, large, 15998066, 8074860, 1.96, 11
Minix3, 1.07, 0.30, 0.35, 5430692.00, large, 15998066, 8074860, 1.96, 12
Minix3, 1.08, 0.31, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 13
Minix3, 2.00, 0.32, 0.37, 3258415.20, large, 15998066, 8074860, 1.96, 14
Minix3, 1.06, 0.31, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 15
Minix3, 1.08, 0.30, 0.35, 5488272.00, large, 15998066, 8158788, 1.94, 16
Minix3, 1.27, 0.32, 0.36, 3258415.20, large, 15998066, 8074860, 1.96, 17
Minix3, 1.18, 0.34, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 18
Minix3, 1.07, 0.31, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 19
Minix3, 3.10, 0.32, 0.36, 2327439.43, large, 15998066, 8074860, 1.96, 20
Minix3, 1.07, 0.31, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 21
Minix3, 1.12, 0.30, 0.35, 5430692.00, large, 15998066, 8074860, 1.96, 22
Minix3, 1.08, 0.29, 0.35, 5430692.00, large, 15998066, 8074860, 1.96, 23
Minix3, 1.32, 0.36, 0.36, 3258415.20, large, 15998066, 8074860, 1.96, 24
Minix3, 1.87, 0.33, 0.36, 3258415.20, large, 15998066, 8074860, 1.96, 25
Minix3, 1.07, 0.31, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 26
Minix3, 1.07, 0.30, 0.35, 5430692.00, large, 15998066, 8074860, 1.96, 27
Minix3, 1.05, 0.29, 0.34, 5430692.00, large, 15998066, 8074860, 1.96, 28
Minix3, 1.10, 0.30, 0.35, 5430692.00, large, 15998066, 8074860, 1.96, 29
Minix3, 1.05, 0.30, 0.35, 5430692.00, large, 15998066, 8074860, 1.96, 30
Minix3, 0.62, 0.17, 0.19, 2724536.00, medium, 7997300, 4049904, 1.96, 1
Minix3, 0.62, 0.19, 0.22, 2724536.00, medium, 7997300, 4049904, 1.96, 2
Minix3, 0.60, 0.18, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 3
Minix3, 2.88, 0.19, 0.21, 1167658.29, medium, 7997300, 4049904, 1.96, 4
Minix3, 0.60, 0.18, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 5
Minix3, 0.62, 0.19, 0.22, 2724536.00, medium, 7997300, 4049904, 1.96, 6
Minix3, 0.58, 0.18, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 7
Minix3, 0.62, 0.18, 0.19, 2724536.00, medium, 7997300, 4049904, 1.96, 8
Minix3, 0.60, 0.17, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 9
Minix3, 0.58, 0.17, 0.20, 2767770.00, medium, 7997300, 4112913, 1.93, 10
Minix3, 0.58, 0.17, 0.19, 8173608.00, medium, 7997300, 4049904, 1.96, 11
Minix3, 0.63, 0.19, 0.21, 8173608.00, medium, 7997300, 4049904, 1.96, 12
Minix3, 2.12, 0.18, 0.21, 1634721.60, medium, 7997300, 4049904, 1.96, 13
Minix3, 0.62, 0.18, 0.21, 2724536.00, medium, 7997300, 4049904, 1.96, 14
Minix3, 0.60, 0.18, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 15
Minix3, 0.62, 0.19, 0.21, 2724536.00, medium, 7997300, 4049904, 1.96, 16
Minix3, 0.61, 0.17, 0.19, 2724536.00, medium, 7997300, 4049904, 1.96, 17
Minix3, 0.60, 0.17, 0.19, 2724536.00, medium, 7997300, 4049904, 1.96, 18
Minix3, 0.58, 0.17, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 19
