trial_name,real_time_seconds,user_time_seconds,sys_time_seconds,throughput_bytes_per_second,file_size_name,file_size_bytes,delta_size_bytes,speedup,trial_num
NetBSD, 1.10, 0.41, 0.41, 5430692.00, large, 15998066, 8074860, 1.96, 1
NetBSD, 0.98, 0.37, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 2
NetBSD, 1.01, 0.41, 0.39, 5430692.00, large, 15998066, 8074860, 1.96, 3
NetBSD, 1.09, 0.43, 0.39, 5430692.00, large, 15998066, 8074860, 1.96, 4
NetBSD, 1.07, 0.41, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 5
NetBSD, 1.13, 0.41, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 6
NetBSD, 0.97, 0.39, 0.40, 5430692.00, large, 15998066, 8074860, 1.96, 7
NetBSD, 1.00, 0.39, 0.39, 5430692.00, large, 15998066, 8074860, 1.96, 8
NetBSD, 0.91, 0.37, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 9
NetBSD, 1.27, 0.41, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 10
NetBSD, 0.86, 0.34, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 11
NetBSD, 0.88, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 12
NetBSD, 0.86, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 13
NetBSD, 0.86, 0.35, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 14
NetBSD, 0.87, 0.35, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 15
NetBSD, 0.87, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 16
NetBSD, 0.88, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 17
NetBSD, 0.99, 0.38, 0.38, 5430692.00, large, 15998066, 8074860, 1.96, 18
NetBSD, 0.86, 0.34, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 19
NetBSD, 0.87, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 20
NetBSD, 0.86, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 21
NetBSD, 0.91, 0.36, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 22
NetBSD, 0.90, 0.36, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 23
NetBSD, 0.87, 0.35, 0.36, 16292076.00, large, 15998066, 8074860, 1.96, 24
NetBSD, 0.85, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 25
NetBSD, 0.90, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 26
NetBSD, 0.85, 0.35, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 27
NetBSD, 0.87, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 28
NetBSD, 0.86, 0.35, 0.36, 5430692.00, large, 15998066, 8074860, 1.96, 29
NetBSD, 0.85, 0.35, 0.37, 5430692.00, large, 15998066, 8074860, 1.96, 30
NetBSD, 0.54, 0.20, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 1
NetBSD, 0.53, 0.20, 0.20, 8173608.00, medium, 7997300, 4049904, 1.96, 2
NetBSD, 0.53, 0.20, 0.19, 8173608.00, medium, 7997300, 4049904, 1.96, 3
NetBSD, 0.56, 0.20, 0.20, 8173608.00, medium, 7997300, 4049904, 1.96, 4
NetBSD, 0.53, 0.20, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 5
NetBSD, 0.53, 0.20, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 6
NetBSD, 0.54, 0.20, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 7
NetBSD, 0.53, 0.20, 0.20, 8173608.00, medium, 7997300, 4049904, 1.96, 8
NetBSD, 0.53, 0.20, 0.19, 8173608.00, medium, 7997300, 4049904, 1.96, 9
NetBSD, 0.53, 0.20, 0.19, 8173608.00, medium, 7997300, 4049904, 1.96, 10
NetBSD, 0.53, 0.20, 0.19, 2724536.00, medium, 7997300, 4049904, 1.96, 11
NetBSD, 0.53, 0.20, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 12
NetBSD, 0.55, 0.20, 0.20, 2724536.00, medium, 7997300, 4049904, 1.96, 13
NetBSD, 0.53, 0.20, 0.19, 8173608.00, medium, 7997300, 4049904, 1.96, 14
NetBSD, 0.53, 0.20, 0.19, 8173608.00, medium, 7997300, 4049904, 1.96, 15
NetBSD, 0.53, 0.19, 0.19, 8173608.00, medium, 7997300, 4049904, 1.96, 16
NetBSD, 0.53, 0.20, 0.19, 2724536.00, medium, 7997300, 4049904, 1.96, 17
NetBSD, 0.51, 0.19, 0.19, 2724536.00, medium, 7997300, 4049904, 1.96, 18
NetBSD, 0.51, 0.18, 0.17, 2724536.00, medium, 7997300, 4049904, 1.96, 19
NetBSD, 0.51, 0.18, 0.18, 8173608.00, medium, 7997300, 4049904, 1.96, 20
NetBSD, 0.50, 0.18, 0.18, 8173608.00, medium, 7997300, 4049904, 1.96, 21
